##;##
@Airflow %
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.10612244;0.0;0.114285715;0.13061225;0.14693879;0.1714286;0.20408168
0.16326533;0.0;0.17959186;0.20408168;0.22857144;0.26938772;0.31836727
0.18775514;0.0;0.21224493;0.2367347;0.26938772;0.31836727;0.3755101
0.277551;0.0;0.31020403;0.34285706;0.39183658;0.45714265;0.5469385
0.2938775;0.0;0.32653055;0.36734682;0.42448962;0.48979568;0.5877548
0.36734682;0.0;0.39999986;0.45714265;0.51428545;0.6040813;0.72653013
0.41632637;0.0;0.45714265;0.51428545;0.5877548;0.6857139;0.8244893
0.49795893;0.0;0.55510175;0.6204078;0.71020365;0.83265257;0.9959177
0.5224487;0.0;0.5795915;0.6448976;0.7428567;0.86530554;1.036734
0.5387752;0.0;0.59591806;0.66938734;0.76734644;0.8979586;1.069387
0.62857103;0.0;0.6938771;0.7836729;0.88979536;1.036734;1.2489786
0.7020404;0.0;0.7755097;0.8734688;1.0040809;1.1673461;1.3959173
0.71020365;0.0;0.7918362;0.88979536;1.0204074;1.1836727;1.420407
0.7428567;0.0;0.8244893;0.9306116;1.0612237;1.2326522;1.4775499
0.7510199;0.0;0.8408158;0.9387749;1.0775503;1.257142;1.5020397
0.8244893;0.0;0.9142851;1.0285708;1.1755093;1.3632643;1.6408151
0.8979586;0.0;0.9959177;1.1183666;1.2816317;1.4938763;1.795917
0.9142851;0.0;1.0204074;1.1428564;1.3061215;1.5265294;1.82857
0.9959177;0.0;1.10204;1.2408154;1.420407;1.6571417;1.9836719
1.0448972;0.0;1.1591828;1.2979583;1.4857131;1.730611;2.081631
1.10204;0.0;1.2244889;1.3714275;1.5673457;1.82857;2.1959167
1.1265298;0.0;1.257142;1.4122438;1.608162;1.8775495;2.2530594
1.1428564;0.0;1.2653052;1.4285704;1.6244885;1.9020394;2.2775493
1.2244889;0.0;1.3632643;1.5346926;1.7469375;2.0408146;2.4489777
1.2489786;0.0;1.3877541;1.5591824;1.7795905;2.0734677;2.4897938
1.2653052;0.0;1.4040805;1.5836722;1.8040802;2.1061208;2.5224469
1.2734685;0.0;1.420407;1.5918355;1.8204068;2.1224473;2.5469368
1.3061215;0.0;1.4530602;1.6326518;1.8612231;2.1714268;2.6122427
1.3387744;0.0;1.4857131;1.6653049;1.9020394;2.2204063;2.6693854
1.3632643;0.0;1.5183662;1.7061212;1.9428556;2.269386;2.7265284
1.3795907;0.0;1.5346926;1.730611;1.9755087;2.302039;2.7591813
1.3959173;0.0;1.5510192;1.7469375;1.9918352;2.3265288;2.7836711
1.4448968;0.0;1.5999987;1.8040802;2.0571413;2.399998;2.8816302
1.4857131;0.0;1.6489784;1.8530598;2.114284;2.4653041;2.9632628
1.5265294;0.0;1.6979579;1.9102026;2.1877534;2.5469368;3.0530586
1.5673457;0.0;1.7387742;1.9591821;2.236733;2.6122427;3.1346912
1.5836722;0.0;1.763264;1.9836719;2.269386;2.6448958;3.1673443
1.5999987;0.0;1.7795905;1.9999985;2.2857125;2.6612222;3.191834
1.608162;0.0;1.7877537;2.016325;2.302039;2.685712;3.2163239
1.6408151;0.0;1.8204068;2.048978;2.3428552;2.7346916;3.2734668
1.6571417;0.0;1.8448966;2.0734677;2.367345;2.7673447;3.314284
1.7061212;0.0;1.9020394;2.138774;2.4408143;2.8489773;3.4122455
1.7469375;0.0;1.9428556;2.1877534;2.4979572;2.9142833;3.49388
1.7877537;0.0;1.9836719;2.236733;2.5551;2.9795892;3.567351
1.795917;0.0;1.9999985;2.2448962;2.5714264;2.995916;3.5918415
1.82857;0.0;2.0326514;2.2857125;2.6122427;3.0448954;3.6489856
1.8530598;0.0;2.0653045;2.3183656;2.653059;3.093875;3.7061298
1.9020394;0.0;2.114284;2.3836715;2.7183652;3.1755075;3.8040912
1.9428556;0.0;2.1551003;2.4244878;2.775508;3.2326503;3.8857257
