##;##
@Airflow
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.13061225;0.0;0.14693879;0.16326533;0.18775514;0.21224493;0.26122448
0.14693879;0.0;0.15510206;0.17959186;0.20408168;0.2367347;0.28571424
0.22857144;0.0;0.25306123;0.28571424;0.32653055;0.3755101;0.45714265
0.30204076;0.0;0.34285706;0.38367334;0.4326529;0.5061222;0.6040813
0.39183658;0.0;0.4326529;0.48979568;0.55510175;0.65306085;0.7836729
0.44081613;0.0;0.48979568;0.55510175;0.62857103;0.7346934;0.8816321
0.5061222;0.0;0.563265;0.6367343;0.72653013;0.84897906;1.0122442
0.5795915;0.0;0.6367343;0.7183669;0.8244893;0.95510143;1.1510196
0.6367343;0.0;0.7020404;0.7918362;0.90612185;1.0530605;1.2653052
0.6857139;0.0;0.75918317;0.84897906;0.9714279;1.134693;1.3632643
0.75918317;0.0;0.8408158;0.94693816;1.0857135;1.2653052;1.5102029
0.8244893;0.0;0.9142851;1.0285708;1.1755093;1.3714275;1.6489784
0.84897906;0.0;0.9387749;1.0530605;1.2081624;1.4040805;1.6897947
0.86530554;0.0;0.96326464;1.0775503;1.2326522;1.4367336;1.7224476
0.88979536;0.0;0.9959177;1.1183666;1.2734685;1.4857131;1.7795905
0.9306116;0.0;1.036734;1.1673461;1.3306112;1.5510192;1.8612231
0.94693816;0.0;1.0448972;1.1755093;1.3469378;1.5673457;1.8857129
0.96326464;0.0;1.069387;1.1999991;1.3714275;1.5999987;1.9183658
1.0040809;0.0;1.1102033;1.2489786;1.4285704;1.6653049;1.9999985
1.0285708;0.0;1.1428564;1.2897949;1.4693866;1.7142844;2.0571413
1.0612237;0.0;1.1755093;1.322448;1.5102029;1.763264;2.114284
1.0938767;0.0;1.2163256;1.3714275;1.5673457;1.82857;2.1877534
1.1836727;0.0;1.3142847;1.4775499;1.6897947;1.9673454;2.367345
1.1999991;0.0;1.3306112;1.4938763;1.7061212;1.9918352;2.3918347
1.2081624;0.0;1.3387744;1.5102029;1.7224476;2.0081618;2.4081614
1.2653052;0.0;1.4040805;1.5836722;1.8040802;2.1061208;2.53061
1.3142847;0.0;1.4612234;1.6408151;1.8775495;2.1877534;2.620406
1.3632643;0.0;1.5102029;1.6979579;1.9428556;2.269386;2.7183652
1.4285704;0.0;1.5836722;1.7877537;2.0408146;2.3755083;2.8571405
1.4448968;0.0;1.5999987;1.8040802;2.0571413;2.399998;2.8816302
1.4612234;0.0;1.6244885;1.8204068;2.081631;2.432651;2.9142833
1.4693866;0.0;1.6326518;1.8367333;2.0979576;2.4489777;2.9387732
1.4857131;0.0;1.6489784;1.8530598;2.1224473;2.4734674;2.9632628
1.5673457;0.0;1.7469375;1.9591821;2.2448962;2.6122427;3.1346912
1.5836722;0.0;1.7551007;1.9755087;2.2612226;2.6367326;3.1591809
1.6244885;0.0;1.8040802;2.0244882;2.3102021;2.7020385;3.2408135
1.6326518;0.0;1.8122436;2.0408146;2.334692;2.7183652;3.2653034
