##;##
@Airflow2
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.14693879;0.0;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.21224493;0.0;0.2367347;0.26938772;0.30204076;0.35918358;0.42448962
0.26938772;0.0;0.30204076;0.34285706;0.38367334;0.4489794;0.5387752
0.32653055;0.0;0.35918358;0.39999986;0.45714265;0.5387752;0.6448976
0.34285706;0.0;0.3755101;0.42448962;0.48979568;0.563265;0.6775506
0.42448962;0.0;0.47346917;0.530612;0.61224455;0.71020365;0.84897906
0.44081613;0.0;0.48979568;0.5469385;0.62857103;0.7346934;0.8734688
0.4489794;0.0;0.49795893;0.563265;0.6448976;0.7510199;0.8979586
0.46530592;0.0;0.51428545;0.5795915;0.66122407;0.76734644;0.9224484
0.5469385;0.0;0.61224455;0.6857139;0.7836729;0.9142851;1.0938767
0.6367343;0.0;0.71020365;0.7918362;0.90612185;1.0612237;1.2734685
0.65306085;0.0;0.72653013;0.81632596;0.9387749;1.0938767;1.3061215
0.6857139;0.0;0.75918317;0.8571423;0.9795912;1.134693;1.3632643
