##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.10612244;0.114285715;0.13061225;0.14693879;0.1714286;0.20408168
0.114285715;0.13061225;0.14693879;0.16326533;0.18775514;0.22857144
0.17959186;0.20408168;0.22857144;0.26122448;0.30204076;0.35918358
0.26122448;0.28571424;0.32653055;0.36734682;0.4326529;0.51428545
0.31020403;0.34285706;0.38367334;0.44081613;0.51428545;0.6204078
0.3755101;0.41632637;0.47346917;0.5387752;0.62857103;0.7510199
0.4326529;0.48163244;0.5387752;0.6204078;0.7183669;0.86530554
0.48979568;0.5469385;0.61224455;0.7020404;0.81632596;0.9795912
0.5469385;0.61224455;0.6857139;0.7836729;0.9142851;1.0938767
0.6040813;0.6775506;0.75918317;0.86530554;1.0122442;1.2081624
0.6938771;0.76734644;0.86530554;0.9877544;1.1510196;1.3795907
0.75918317;0.8408158;0.94693816;1.0857135;1.2653052;1.5183662
0.8244893;0.9224484;1.036734;1.1836727;1.3795907;1.6489784
0.84897906;0.9387749;1.0612237;1.2081624;1.4122438;1.6897947
