##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
618.12;193.5254;2
971.616;304.2004;3
1280.676;400.9631;4
1693.4199;530.1881;5
2046.916;640.8631;6
2518.908;788.63806;7
2827.968;885.40076;8
2902.0278;908.5881;9
3020.524;945.6881;10
3433.268;1074.9131;11
3786.7642;1185.5881;12
4140.2603;1296.2631;13
4612.2524;1444.038;14
4965.7485;1554.7131;15
5039.8086;1577.9001;16
5452.5527;1707.1251;17
5865.2964;1836.3501;18
5983.7925;1873.4502;19
6396.5366;2002.6752;20
