##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7816.241;1
7890.301;2
8186.542;3
8482.783;4
8556.844;5
8853.083;6
8927.143;7
9001.204;8
9075.264;9
9149.324;10
9223.384;11
9297.443;12
9371.504;13
9445.564;14
9519.624;15
9593.686;16
9667.746;17
9741.807;18
10038.047;19
10112.106;20
10186.167;21
10260.228;22
10334.287;23
10408.348;24
10704.588;25
10778.648;26
10852.709;27
10926.77;28
11000.829;29
11074.89;30
11371.129;31
11667.37;32
11741.431;33
11815.49;34
11889.55;35
11963.61;36
12037.67;37
12111.7295;38
12185.79;39
12259.85;40
12333.91;41
12407.97;42
12482.029;43
12556.09;44
12630.15;45
12926.39;46
13000.449;47
13074.51;48
13148.57;49
13444.811;50
